dzid,title,author_index,person_name,person_id,FUNCTION
DZ0142,紫陽真人悟真篇三註,3,陸墅,15917,撰
DZ0142,紫陽真人悟真篇三註,2,薛道光,15841,撰
DZ0142,紫陽真人悟真篇三註,1,張士弘,15610,編
DZ0144,紫陽真人悟真篇拾遺,1,張伯端,15604,撰
DZ0145,悟真篇註釋,2,張伯端,15604,撰
DZ0145,悟真篇註釋,1,翁葆光,15810,注
DZ0146,紫陽真人悟真篇講義,2,張伯端,15604,撰
DZ0146,紫陽真人悟真篇講義,1,夏元鼎,15577,注
DZ0147,靈寶無量度人上品妙經符圖,1,徽宗,15312,序
DZ0148,無量度人上品妙經旁通圖,1,劉元道,15536,纂
DZ0149,修真太極混元圖,1,蕭道存,15838,撰
DZ0151,金液還丹印證圖,1,龍眉子,15664,撰
DZ0154,上清太玄九陽圖,1,侯善淵,15525,撰
DZ0155,三才定位圖,1,張商英,15606,撰
DZ0159,易數鉤隱圖,1,劉牧,15548,撰
DZ0160,易數鉤隱圖遺論九事,1,劉牧,15548,撰
DZ0161,易象圖說內篇,2,張理,15623,撰
DZ0161,易象圖說內篇,1,黃鎮成,15947,序
DZ0162,易象圖說外篇,1,張理,15623,撰
DZ0163,玄元十子圖,1,趙孟頫,15865,撰
DZ0165,靈寶自然九天生神三寶大有金書,1,葛巢甫,1421,
DZ0166,元始上真眾仙記,1,葛洪,3661,
DZ0167,洞玄靈寶真靈位業圖,2,陶弘景,8506,
DZ0167,洞玄靈寶真靈位業圖,1,閭丘放遠,15894,改訂
DZ0171,清微仙譜,2,黃舜申,15946,撰
DZ0171,清微仙譜,1,陳采,15912,序
DZ0172,三茅真君加封事典,1,張大淳,15611,編
DZ0173,金蓮正宗紀,1,秦志安,15796,撰
DZ0174,金蓮正宗仙源像傳,1,劉志玄,15543,纂
DZ0174,金蓮正宗仙源像傳,2,謝西蟾,15857,纂
DZ0175,七真年譜,1,李道謙,15708,纂
DZ0176,玄風慶會錄,1,移剌楚才,15797,撰
DZ0177,太上洞真智慧上品大戒,1,葛巢甫,1421,
DZ0178,三洞眾戒文,1,張萬福,11075,纂
DZ0179,太微靈書紫文仙忌真記上經,1,楊羲,3527,
DZ0186,太微仙君功過格,1,又玄子,16964,序
DZ0193,玉皇宥罪錫福寶懺,1,辛漢臣,16965,
DZ0218,清微玄樞奏告儀,1,葉雲來,15825,撰
DZ0220,無上玄元三天玉堂大法,1,路時中,15872,撰
DZ0225,太上九要心印妙經,1,張果老,15620,撰
DZ0226,紫元君授道傳心法,1,陰長生,15896,注
DZ0227,真龍虎九仙經,1,葉法善,11766,注
DZ0227,真龍虎九仙經,2,羅公遠,15806,注
DZ0229,九還七返龍虎金丹析理真訣,1,程昭,15800,撰
DZ0231,真一金丹訣,1,王常,1766,撰
DZ0232,還丹祕訣養赤子神方,1,許子微,15852,撰
DZ0233,還丹眾仙論,1,楊在,15731,撰
DZ0237,還丹顯妙通幽集,1,潛真子,15642,撰
DZ0239,還丹金液歌註,2,元陽子,15534,撰
DZ0239,還丹金液歌註,1,張果,3962,注
DZ0240,玉清金笥青華祕文金寶內鍊丹訣,1,張伯端,15604,撰
DZ0241,碧虛子親傳直指,1,楊明真,15732,撰
DZ0242,紙舟先生全真直指,2,金月嚴,15890,纂
DZ0242,紙舟先生全真直指,1,黃公望,15936,傳
DZ0243,陳虛白䂓中指南,1,陳沖素,15907,撰
DZ0244,大丹直指,1,丘處機,15501,撰
DZ0245,玉谿子丹經指要,1,李簡易,15703,撰
DZ0246,西山群仙會真記,2,施肩吾,15676,撰
DZ0246,西山群仙會真記,1,李竦,15702,纂
DZ0247,會真集,1,王吉昌,15761,撰
DZ0248,啟真集,1,劉志淵,15542,撰
DZ0249,中和集,3,李道純,15707,撰
DZ0249,中和集,2,蔡志頤,15829,編
DZ0249,中和集,1,杜道堅,15713,序
DZ0250,三天易髓,1,李道純,15707,撰
DZ0251,全真集玄祕要,1,李道純,15707,撰
DZ0252,谷神篇,1,林轅,15721,撰
DZ0255,太微靈書紫文琅玕華丹神真上經,1,楊羲,3527,
DZ0259,陶真人內丹賦,1,陶植,15915,撰
DZ0261,金丹賦,1,馬蒞昭,15928,注
DZ0262,谷神賦,1,趙德,15867,撰
DZ0263.01,雜著指玄篇,1,白玉蟾,15789,撰
DZ0263.09,金丹大成集,1,蕭廷芝,15835,撰
DZ0263.14,鍾呂傳道集,3,鍾離權,15508,撰
DZ0263.14,鍾呂傳道集,2,呂喦,15565,纂
DZ0263.14,鍾呂傳道集,1,施肩吾,15676,傳
DZ0263.26,悟真篇,3,張伯端,15604,撰
DZ0263.26,悟真篇,2,葉士表,15822,注
DZ0263.26,悟真篇,1,遠公輔,15874,注
DZ0263.31,玉隆集,1,白玉蟾,15789,撰
DZ0263.45,武夷集,1,白玉蟾,15789,撰
DZ0263.58,黃庭外景玉經註,1,白履忠,11640,撰
DZ0264,真氣還元銘,1,強名子,15632,撰
DZ0265,還丹歌訣,1,元陽子,15534,纂
DZ0267,上乘修真三要,1,高道寬,15932,撰
DZ0269,至真子龍虎大丹詩,1,周方,15571,撰
DZ0270,破迷正道歌,1,鍾離權,15508,撰
DZ0271,太玄朗然子進道詩,1,劉希岳,15541,撰
DZ0272,了明篇,2,宋先生,15588,撰
DZ0272,了明篇,1,毛日新,15741,纂
DZ0273,明道篇,1,王維一,15779,撰
DZ0275,三極至命筌蹄,1,王慶升,15770,撰
DZ0276,析疑指迷論,3,牛道淳,15752,撰
DZ0276,析疑指迷論,2,劉道真,8715,刊記
DZ0276,析疑指迷論,1,王道亨,15783,序
DZ0277,修真精義雜論,1,司馬承禎,10781,撰
DZ0279,先天金丹大道玄奧口訣,4,霍濟之,15920,撰
DZ0279,先天金丹大道玄奧口訣,3,劉子澄,15540,序
DZ0279,先天金丹大道玄奧口訣,2,尤焴,15596,序
DZ0279,先天金丹大道玄奧口訣,1,郭三益,15878,序
DZ0280,金液大丹口訣,1,鄭德安,15886,
DZ0281,抱一子三峰老人丹訣,2,金月嚴,15890,纂
DZ0281,抱一子三峰老人丹訣,1,黃公望,15936,傳
DZ0283,黃帝龍首經,1,洪頤暄,15750,序
DZ0284,黃帝金匱玉衡經,1,孫星衍,15585,注
DZ0290,廣皇帝本行記,1,王瓘,15777,撰
DZ0291,穆天子傳,3,郭璞,51,注
DZ0291,穆天子傳,2,荀勗,182,序
DZ0291,穆天子傳,1,王漸,15775,序
DZ0294,列仙傳,3,劉向,331,撰
DZ0294,列仙傳,2,孫綽,1240,讚
DZ0294,列仙傳,1,郭元祖,6727,讚
DZ0295,續仙傳,1,沈汾,15747,纂
DZ0296,歷世真仙體道通鑑,3,趙道一,15871,撰
DZ0296,歷世真仙體道通鑑,2,劉辰翁,15552,刊記
DZ0296,歷世真仙體道通鑑,1,鄧光薦,15880,序
DZ0297,歷世真仙體道通鑑續篇,1,趙道一,15871,撰
DZ0298,歷世真仙體道通鑑後集,1,趙道一,15871,撰
DZ0299,疑仙傳,1,隱夫玉簡,15659,撰
DZ0300,華陽陶隱居內傳,1,賈嵩,15860,撰
DZ0302,周氏冥通記,2,周子良,3555,撰
DZ0302,周氏冥通記,1,陶弘景,8506,注
DZ0303,紫陽真人內傳,1,華僑,2035,
DZ0304,茅山志,3,劉大彬,15538,纂
DZ0304,茅山志,2,趙世延,15863,序
DZ0304,茅山志,1,吳全節,15558,序
DZ0305,純陽帝君神化妙通紀,1,苗善時,15815,撰
DZ0306,太華希夷志,1,張輅,15628,纂
DZ0307,西嶽華山誌,2,王處一,15499,撰
DZ0307,西嶽華山誌,1,劉大用,15539,序
DZ0308,凝陽董真人遇仙記,1,祿昭聞,15648,撰
DZ0310,金籙齋三洞讚詠儀,1,張商英,15606,纂
DZ0311,黃帝陰符經頌,1,元陽子,15534,撰
DZ0312,太上昇玄消災護命妙經頌,1,張白,1021,撰
DZ0313,生天經頌解,1,王吉昌,15761,撰
DZ0315,宋真宗玉製玉京集,1,趙德昌,15868,撰
DZ0317,靈寶天尊說洪恩靈濟真君妙經,1,永樂帝,15356,序
DZ0318,洞玄靈寶自然九天生神章經,1,葛巢甫,1421,
DZ0325,太上洞玄靈寶智慧定志通微經,1,葛巢甫,1421,
DZ0331,太上黃庭內景玉經,2,楊羲,3527,
DZ0331,太上黃庭內景玉經,1,陶弘景,8506,注
DZ0335,太上洞淵神咒經,1,杜光庭,15712,序
DZ0344,太上洞玄靈寶智慧本願大戒上品經,1,葛玄,1557,輯佚
DZ0346,太上洞玄靈寶真一勸誡法輪妙經,1,葛巢甫,1421,
DZ0349,太上洞玄靈寶法燭經,1,陸修靜,4492,撰
DZ0352,太上洞玄靈寶赤書玉訣妙經,1,葛巢甫,1421,
DZ0374,太上洞玄靈寶救苦妙經,1,趙子俅,15864,後記
DZ0376,太上洞玄靈寶凈供妙經,1,葛玄,1557,輯佚
DZ0389,太上洞玄靈寶素靈真符,1,陸修靜,4492,撰
DZ0389,太上洞玄靈寶素靈真符,2,杜光庭,15712,撰
DZ0391,上清金母求仙上法,1,李玄真,12356,撰
DZ0393,太上洞玄靈寶大綱鈔,1,閭丘方遠,15894,撰
DZ0396,洞玄靈寶自然九天生神章經解義,1,董思靖,15826,撰
DZ0397,洞玄靈寶自然九天生神玉章經解,1,王希巢,15765,撰
DZ0398,洞玄靈寶自然九天生神玉章經註,1,華陽復,15820,撰
DZ0399,太上洞玄靈寶天尊說救苦妙經註解,1,呂氏,16966,撰
DZ0401,黃庭內景玉經註,1,劉處玄,15502,撰
DZ0402,黃庭內景玉經註,1,白履忠,11640,撰
DZ0403,黃庭內外玉景經解,1,白履忠,11640,撰
DZ0408,上清胎精記解結行事訣,1,楊羲,3527,
DZ0410,太上洞玄靈寶眾簡文,1,陸修靜,4492,撰
DZ0411,太上洞玄靈寶五帝醮祭招真玉訣,1,張承先,15619,編
DZ0420,神仙服餌丹石行藥法,1,京里先生,3573,撰
DZ0421,登真隱訣,1,陶弘景,8506,纂
DZ0424,上清明堂元真經訣,1,楊羲,3527,
DZ0431,上清含象劍鑑圖,1,司馬承禎,10781,撰
DZ0432,黃庭內景五臟六腑補瀉圖,1,胡愔,15811,撰
DZ0436,上方大洞真元妙經品,1,明皇,15677,序
DZ0441,洞玄靈寶五嶽古本真形圖,1,東方朔,6392,撰
DZ0442,上清後聖道君列紀,1,楊羲,3527,
DZ0444,洞玄靈寶三師記,1,劉處靜,15550,撰
DZ0445,洞玄靈寶三師名諱形狀居觀方所文,1,張萬福,11075,撰
DZ0450,太極葛仙公傳,2,譚嗣先,15858,纂
DZ0450,太極葛仙公傳,1,朱綽,9025,改訂
DZ0452,南嶽九真人傳,1,廖侁,15602,編
DZ0453,南嶽小錄,1,李沖昭,15700,撰
DZ0457,太上洞玄靈寶智慧罪根上品大戒經,1,葛巢甫,1421,
DZ0461,上清骨髓靈文鬼律,2,饒洞天,15921,撰
DZ0461,上清骨髓靈文鬼律,1,鄧有功,15881,編
DZ0463,要修科儀戒律鈔,1,朱君緒,15682,撰
DZ0466,靈寶領教濟度金書,2,寧全真,15595,傳
DZ0466,靈寶領教濟度金書,1,林靈真,15722,纂
DZ0467,大明玄教立成齋醮儀,1,宋宗真,15589,纂
DZ0483,金籙齋啟壇儀,1,杜光庭,15712,撰
DZ0488,金籙齋懺方儀,1,杜光庭,15712,撰
DZ0498,金籙齋投簡儀,1,張商英,15606,編
DZ0507,太上黃籙齋儀,1,杜光庭,15712,撰
DZ0508,無上黃籙大齋立成儀,4,蔣叔與,15830,撰
DZ0508,無上黃籙大齋立成儀,3,蔣焈,15832,後記
DZ0508,無上黃籙大齋立成儀,2,蔣焱,15833,後記
DZ0508,無上黃籙大齋立成儀,1,高文虎,15931,後記
DZ0521,太上靈寶玉匱明真大齋言功儀,1,杜光庭,15712,撰
DZ0524,洞玄靈寶齋說光燭戒罰燈祝願儀,1,陸修靜,4492,撰
DZ0525,太上洞淵三昧神咒齋懺謝儀,1,杜光庭,15712,編
DZ0526,太上洞淵三昧神咒齋清旦行道儀,1,杜光庭,15712,編
DZ0527,太上洞淵三昧神咒齋十方懺儀,1,杜光庭,15712,撰
DZ0528,太上洞玄靈寶授度儀,1,陸修靜,4492,撰
DZ0530,洞玄靈寶玉籙簡文三元威儀自然真經,1,葛巢甫,1421,
DZ0543,太上慈悲道場消災九幽懺,1,葛玄,1557,撰
DZ0548,太極祭鍊內法,1,鄭思肖,15887,撰
DZ0554,靈寶凈明院教師周真公起請畫一,1,周方文,15572,撰
DZ0555,高上月官太陰元君孝道仙王靈寶凈明黃素書,1,傳飛卿,15531,注
DZ0556,靈寶凈明黃素書釋義祕訣,1,周方文,15572,撰
DZ0562,靈寶凈明新修九老神印伏魔祕法,1,何守證,15518,撰
DZ0563,太上靈寶凈明飛仙度人經法,,許旌陽,3519,釋
DZ0564,太上靈寶凈明飛仙度人經法釋例,1,許旌陽,3519,注
DZ0565,太上凈明院補奏職局太玄都省須知,1,許旌陽,3519,注
DZ0566,上清天心正法,1,鄧有功,15881,撰
DZ0568,靈寶歸空訣,1,趙宜真,15866,撰
DZ0569,上清大洞九宮朝修祕訣上道,1,周德大,15570,纂
DZ0570,靈劍子,1,許遜,3519,撰
DZ0571,靈劍子引導子午紀,1,許遜,3519,撰
DZ0573,玄珠歌,1,通玄先生,15654,撰
DZ0574,玄珠心鏡註,1,衡嶽真子,15649,撰
DZ0575,玄珠心鏡註,2,王損之,15772,注
DZ0575,玄珠心鏡註,1,長孫子,15893,編
DZ0576,抱一函三祕訣,2,金月嚴,15890,纂
DZ0576,抱一函三祕訣,1,黃公望,15936,傳
DZ0580,玄圃山靈（匚金）祕籙,1,皇甫朋,15790,序
DZ0585,貫斗中校五雷武侯祕法,1,吳昇,15560,撰
DZ0589,太上赤文洞神三籙,1,陶弘景,8506,撰
DZ0590,道教靈驗記,1,杜光庭,15712,撰
DZ0591,錄異記,1,杜光庭,15712,撰
DZ0592,神仙感遇傳,1,杜光庭,15712,撰
DZ0593,歷代崇道記,1,杜光庭,15712,撰
DZ0595,江淮異人錄,1,吳淑,15562,撰
DZ0596,仙苑編珠,1,王松年,8401,纂
DZ0598,十洲記,1,東方朔,6392,
DZ0599,洞天福地嶽瀆名山記,1,杜光庭,15712,撰
DZ0601,金華赤松山志,1,倪守約,15527,撰
DZ0602,仙都志,2,陳性定,15900,撰
DZ0602,仙都志,1,吳明義,15561,編
DZ0604,龍瑞觀禹穴陽明洞天圖經,1,葉樞,15823,撰
DZ0605,四明洞天丹山圖詠集,1,曾堅,15680,撰
DZ0611,洞玄靈寶六甲玉女上宮歌章,1,楊羲,3527,
DZ0612,上清侍帝晨桐伯真人真圖讚,1,司馬承禎,10781,纂
DZ0616,廣成集,1,杜光庭,15712,撰
DZ0617,太上宣慈助化章,1,杜光庭,15712,纂
DZ0618,靈寶凈明院行遣式,1,周方文,15572,撰
DZ0633,太上泰清皇老帝君運雷天童隱梵仙經,1,梁光映,15727,撰
DZ0638,太上飛步南斗太微玉經,1,赤松子,15652,傳
DZ0639,皇天上清金闕帝君靈書紫文上經,1,楊羲,3527,
DZ0651,太上洞神三元妙本福壽真經,1,苗善時,15815,編
DZ0663,玄天上帝說報父母恩重經,1,趙宜真,15866,撰
DZ0664,道德真經,1,老子,2847,撰
DZ0665,道德經古本篇,1,傳奕,3775,編
DZ0666,西昇經,1,宋徽宗,15312,注
DZ0668,沖虛至德真經,1,列禦寇,13512,撰
DZ0669,洞靈真經,1,庚桑楚,15601,
DZ0670,南華真經,2,莊周,10274,撰
DZ0670,南華真經,1,郭象,1585,編
DZ0671,太上無極大道自然真一五稱符上經,1,葛巢甫,1421,
DZ0674,無上三元鎮宅靈籙,1,金明七真,15656,撰
DZ0676,大明太祖高皇帝御註道德真經,1,太祖,15354,撰
DZ0677,唐玄宗御註道德真經,1,玄宗,4151,撰
DZ0678,唐玄宗御製道德真經疏,1,玄宗,4151,撰
DZ0679,唐玄宗御製道德真經疏,1,玄宗,4151,撰
DZ0680,宋徽宗御解道德真經,1,徽宗,15312,撰
DZ0681,宋徽宗道德真經解義,1,章安,15803,注
DZ0682,道德真經註,1,河上公,6462,撰
DZ0683,道德真經解,1,陳象古,15910,撰
DZ0684,道德真經四子古道集解,1,寇才質,15594,撰
DZ0685,道德真經傳,1,陸希聲,12069,撰
DZ0686,道德真經傳,1,呂惠卿,15567,撰
DZ0687,道德真經三解,1,鄧錡,15884,撰
DZ0688,道德真經直解,2,邵若愚,15876,撰
DZ0688,道德真經直解,1,張知新,15624,改訂
DZ0689,道德真經論,1,司馬光,15557,撰
DZ0690,道德真經註,1,王弼,4266,注
DZ0691,道德真經註,1,蘇轍,15842,撰
DZ0692,道德真經新註,1,李約,12337,撰
DZ0693,道德真經指歸,2,嚴遵,6195,撰
DZ0693,道德真經指歸,1,谷神子,15651,增補
DZ0694,道德真經疏義,1,江瀓,15743,撰
DZ0695,道德真經集解,1,趙秉文,11935,撰
DZ0696,道德真經全解,1,時雍,15678,撰
DZ0698,道德真經章句訓頌,1,張嗣成,15608,撰
DZ0699,道德會元,1,李道純,15707,撰
DZ0701,道德真經口義,1,林希逸,15717,撰
DZ0702,道德玄經原旨,1,杜道堅,15713,撰
DZ0703,玄經原旨發揮,1,杜道堅,15713,撰
DZ0704,道德真經註,1,吳澄,15563,撰
DZ0705,道德真經集解,1,董思靖,15826,撰
DZ0706,道德真經集註,1,梁迥,15728,刊記
DZ0707,道德真經集註,1,彭耜,15666,撰
DZ0708,道德真經集註釋文,1,彭耜,15666,撰
DZ0709,道德真經集註雜說,1,彭耜,15666,撰
DZ0710,道德真經註疏,1,顧歡,1096,撰
DZ0711,道德真經玄德纂疏,1,強思齊,15633,纂
DZ0712,道德真經集義,1,危大有,15555,撰
DZ0713,道德經論兵要義述,1,王真,4357,撰
DZ0714,道德真經藏室纂微篇,1,陳景元,15903,撰
DZ0715,道德真經藏室纂微開題科文疏,1,薛致玄,15840,撰
DZ0716,道德真經藏室纂微手鈔,1,薛致玄,15840,撰
DZ0717,道德真經衍義手鈔,1,王守正,15764,撰
DZ0718,道德真經取善集,1,李霖,15709,撰
DZ0719,道德真經疏義,1,趙志堅,15869,撰
DZ0720,道德真經註,1,林志堅,15718,撰
DZ0721,道德真經義解,1,息齋道人,15636,撰
DZ0722,道德真經註,1,李榮,12307,撰
DZ0723,道德真經集義大旨,1,劉惟永,15544,撰
DZ0723,道德真經集義大旨,2,丁易東,15512,撰
DZ0724,道德真經集義,1,劉惟永,15544,撰
DZ0724,道德真經集義,2,丁易東,15512,撰
DZ0725,道德真經廣聖義,1,杜光庭,15712,撰
DZ0726,西昇經集註,1,陳景元,15903,撰
DZ0727,文始真經註,1,牛道淳,15752,撰
DZ0728,文始真經言外旨,1,陳顯微,15913,撰
DZ0729,沖虛至德真經鬳齋口義,1,林希逸,15717,撰
DZ0730,沖虛至德真經解,1,江遹,15744,撰
DZ0731,沖虛至德真經義解,1,宋徽宗,15312,撰
DZ0732,沖虛至德真經四解,1,高守元,15930,纂
DZ0733,列子沖虛至德真經釋文,2,殷敬順,15740,撰
DZ0733,列子沖虛至德真經釋文,1,陳景元,15903,增補
DZ0734,南華真經義海纂微,1,褚伯秀,15850,撰
DZ0735,南華真經口義,2,林希逸,15717,撰
DZ0735,南華真經口義,1,林經德,15719,後記
DZ0736,南華真經章句音義,1,陳景元,15903,撰
DZ0737,南華真經章句餘事,1,陳景元,15903,撰
DZ0738,南華真經餘事雜錄,1,陳景元,15903,撰
DZ0739,南華真經直音,1,賈善翔,15859,撰
DZ0741,莊子內篇訂正,1,吳澄,15563,撰
DZ0742,南華真經循本,2,羅勉道,15807,撰
DZ0742,南華真經循本,1,彭祥,15665,纂
DZ0743,南華真經新傳,1,王雱,15785,撰
DZ0744,南華真經拾遺,1,王雱,15785,撰
DZ0745,南華真經註疏,1,郭象,1585,撰
DZ0745,南華真經註疏,2,成玄英,13762,撰
DZ0746,通玄真經,1,徐靈府,15671,注
DZ0747,洞靈真經,1,何璨,15522,撰
DZ0748,通玄真經纘義,1,杜道堅,15713,撰
DZ0749,通玄真經,1,朱弁,15684,撰
DZ0750,太上玄靈北斗本命延生真經註,2,徐道齡,15670,撰
DZ0750,太上玄靈北斗本命延生真經註,1,徐道玄,15669,校正
DZ0751,太上玄靈北斗本命延生真經註解,1,玄元真人,15644,撰
DZ0752,太上玄靈北斗本命延生經註,1,傳洞真,15528,撰
DZ0754,太上說玄天大聖真武本傳神咒妙經,1,陳伀,15897,撰
DZ0755,太上老君說常清靜經註,1,李道純,15707,撰
DZ0757,太上老君說常清靜經註,2,白玉蟾,15789,改訂
DZ0757,太上老君說常清靜經註,1,王元暉,15758,注
DZ0758,太上老君說常清靜經註,2,侯善淵,15525,撰
DZ0758,太上老君說常清靜經註,1,毛麾,15742,序
DZ0759,太上老君說常清靜經註,1,杜光庭,15712,撰
DZ0760,太上老君說常清靜妙經纂圖解註,1,王玠,15776,撰
DZ0761,太上老君元道真經註解,1,隱芝,15660,撰
DZ0762,太上太清天童護命妙經註,1,侯善淵,15525,撰
DZ0763,老子說五廚經註,1,尹愔,3936,撰
DZ0768,圖經衍義本草,2,寇宗奭,15593,纂
DZ0768,圖經衍義本草,1,許洪,15853,改訂
DZ0769,圖經衍義本草,2,寇宗奭,15593,纂
DZ0769,圖經衍義本草,1,許洪,15853,改訂
DZ0770,混元聖紀,2,謝守灝,15855,撰
DZ0770,混元聖紀,1,陳傳良,15898,序
DZ0771,太上老君年譜要略,2,謝守灝,15855,纂
DZ0771,太上老君年譜要略,1,李致道,15704,改訂
DZ0773,太上混元老子史略,1,謝守灝,15855,撰
DZ0774,猶龍傳,1,賈善翔,15859,撰
DZ0775,太上說玄天大聖真武本傳神咒妙經,1,陳伀,15897,撰
DZ0776,真武靈應真君增上佑聖尊號冊文,1,徽宗,15312,撰
DZ0777,章獻明肅皇后受上清畢法籙記,1,朱自英,15688,撰
DZ0778,華蓋山浮丘王郭三真君事實,4,章元樞,15802,撰
DZ0778,華蓋山浮丘王郭三真君事實,3,黃彌堅,15939,撰
DZ0778,華蓋山浮丘王郭三真君事實,2,劉祥,16961,纂
DZ0778,華蓋山浮丘王郭三真君事實,1,王克明,15759,纂
DZ0779,唐葉真人傳,1,馬光祖,15923,序
DZ0780,地祇上將溫太保傳,1,黃公瑾,15937,編
DZ0781,玄品錄,1,張天雨,15612,撰
DZ0782,大滌洞天記,1,鄧牧,15883,撰
DZ0783,墉城集仙錄,1,杜光庭,15712,撰
DZ0785,老君音誦誡經,1,寇謙之,3926,撰
DZ0788,三洞法服科戒文,1,張萬福,11075,撰
DZ0796,太上三五正一盟威閱籙醮儀,1,杜光庭,15712,編
DZ0797,太上正一閱籙儀,1,杜光庭,15712,纂
DZ0804,洞神三皇七十二君齋方懺儀,1,杜光庭,15712,編
DZ0805,太上洞神太元河圖三元仰謝儀,1,杜光庭,15712,編
